Szállító,Kontírozás/Költséghely,Raktár,Terület,BMIg.,BMIg./Poz,PO
Daniella_418896,15009126,0060,MFC,100369003,10,3010813455/10
Daniella_418896,15009115,,MFS,100369003,20,3010813455/20
Daniella_418896,15009410,0350,MFH,100369003,30,3010813455/30
Daniella_418896,15009891,,LOG,100369003,40,3010813455/40
Daniella_418896,15009832,0060,TMK/KAR,100369003,50,3010813455/50
Daniella_418896,15009210,,LEAN,100369003,60,3010813455/60
Daniella_418896,SRE,,SRE,100369003,70,3010813455/70
Daniella 418896,15009131,0560,MFQ,100369003,80,3010813455/80
Ezermester_416514,15009126,0060,MFC,100369004,10,3010813456/10
Ezermester_416514,15009115,,MFS,100369004,20,3010813456/20
Ezermester_416514,15009410,0350,MFH,100369004,30,3010813456/30
Ezermester_416514,15009891,,LOG,100369004,40,3010813456/40
Ezermester_416514,15009832,,TMK/KAR,100369004,50,3010813456/50
Ezermester_416514,15009210,,LEAN,100369004,60,3010813456/60
Ezermester_416514,SRE,,SRE,100369004,70,3010813456/70
Ezermester_416514,15009131,0560,MFQ,100369004,80,3010813456/80
Move-X_410947,15009126,0060,MFC,100369005,10,3010813462/10
Move-X_410947,15009115,,MFS,100369005,20,3010813462/20
Move-X_410947,15009410,0350,MFH,100369005,30,3010813462/30
Move-X_410947,15009891,,LOG,100369005,40,3010813462/40
Move-X_410947,15009832,0060,TMK/KAR,100369005,50,3010813462/50
Move-X_410948,15009210,,LEAN,-,-,-
Move-X_410947,SRE,,SRE,100369005,60,3010813462/60
Move-X_410947,15009131,0560,MFQ,100369005,70,3010813462/70
UNO_410732,15009126,0060,MFC,100369006,10,3010813465/10
UNO_410732,15009115,,MFS,100369006,20,3010813465/20
UNO_410732,15009450,0350,MFH,100369006,30,3010813465/30
UNO_410732,15009891,,LOG,100369006,40,3010813465/40
UNO_410732,15009832,0060,TMK/KAR,100369006,50,3010813465/50
UNO_410732,15009210,,LEAN,-,-,-
UNO_410732,SRE,,SRE,100369006,60,3010813465/60
UNO_410732,15009131,0560,MFQ,-,-,-
PBS_410829,15009832,,TMK/KAR,100369008,10,3010813657/10
Ferroprofil_410661,15009126,0060,MFC,100369010,10,3010813966
Ferroprofil_410661,15009105,,MFS,-,-,-
Ferroprofil_410661,15009410,0350,MFH,100369010,10,3010813966
